,Titulo,Temple anímico,Letra
39,Piedras del camino,"['Frustración', 'Nostalgia', '\nDecepción']","Hoy un amor, 
paso por mi lado
no dijo palabras
muy triste quede

Sus ojos negaron
lo que habian llorado
Dios no puede ser

Como si yo fuera piedra del camino
cual pequeño rio el mar ignoro
nego conocerme y me nego el cariño
pero hay un testigo el cielo nos vio





Como pudo matar tanto amor
como pudo negar que me amo
como pudo matar tanto amor
como pudo negar que me amo

Fueron tantas cosas fueron tan divinas
por eso en mi alma las conservo yo
solo me falto ponerme de rodillas
para agradecerle a Dios por ese amor

Dime reina tu que sientes
el cariño por Dios que lo hacias
donde quedan tantos años
yo te di lo mejor de mis dias

Como pudo matar tanto amor…

Asi vivia el sol
la luna ignorando
sus años quemando
mas no aquel dolor

El iba llevando
olor a mi sangre
mi alma derramo

Yo que fui quitando piedras del camino
tu ibas derramando espinas con rencor
donde quieras vayas hallaras olvido
nunca pero nunca encontraras amor

Como pudo matar tanto amor…

Fueron tantas cosas fueron tan divinas…

Dime reina si estas triste…

Como pudo matar tanto amor…
"
40,Qué será de mí,"['Frustración', 'Incertidumbre']","No, no vayas a pensar
que eso te salvara lo veras mañana.

Tu no ves que mis ojos han llorado por ti
tu no ves que sin ti ya no podria vivir
y de que me ha valido llevarte ya en mi
si al final me ha tocado sufrir y sufrir.

Me has tenido en tus manos como un barco de papel
hechas a la creciente y que no sabe que hacer
me tienes en tus manos, en tus manos mujer
teniendolo todo lo hechas a perder.

Viendo que el tiempo, le quita tiempo
a nuestro mundo y a nuestro amor
porque le niegas vida a mi vida
dando una herida a mi corazon.

Tu que me viste contra el viento correr,
tu que me echaste a la batalla a pelear
Tu que me viste contra el viento correr,




tu que me echaste a la batalla a pelear
Tu que me hiciste tanto sueño inventar
¡ay!, total para que.

Y que sera de mi vida sin ti
que sera si no puedo vivir,
que sera de tu vida sin mi
que sera 

Yo no quiero ni pensar
que un dia terminaras muy triste y dolida
se que me lastimara
cuando te vea llorar por salvar tu vida.

Sabes bien que los años preguntan por ti
ya lo se que tambien preguntaron por mi
que mis pasos se cansan de ir y venir
y mi alma tambien de sufrir y sufrir.

Pero sigues jugando con las cartas mujer
las que tenias marcadas tu lo sabes muy bien
porque solo has querido vencer y vencer
bendita mi suerte que mas puedo hacer.

Ahora me toca parar el tiempo
que en una tarde no muera el sol
lo veo dificil, es imposible
sera que asi se va mi ilusion.

Tu que me viste contra el viento correr,
tu que me echaste a la batalla a pelear
Tu que me viste contra el viento correr,
tu que me echaste a la batalla a pelear

Tu que me hiciste tanto sueño inventar
¡ay!, total para que.

Y que sera de mi vida sin ti….
"
41,Recuérdame,"['Resignación', 'Desolación', '\nPena', 'Decepción', 'Despecho']","Ya no tengo que decir, mi palabra se canso
sobran las explicaciones cuando tristemente todo se acabo
no vengo a recriminarte
debil fue tu amor, no pudo aguantar la primera decepcion
 / 
Si ayer cante, mañana tambien lo hare
Si ayer cante, mañana tambien lo hare

No habra resentimiento
no importa que ande herido
no habra resentimiento
cuando me amabas caia la lluvia
mojando la tierra del valle




y hasta las aves, volaban alegres por la region
ya no hay aromas de flores mojadas
ni cae la lluvia que riega las flores
ya no se tiñen de verde los campos, desolacion

Ay! recuerdame
cuando escuches mis versos tan tristes recuerdame,
recuerdame, recuerdame
¨
Abierto mi corazon, siempre suspiro por ti
ahora quieres convencerme que la indiferencia te alejo de mi
no es que me encuentre afligido
duele de verdad, con sinceridad, la primera decepcion
 / 
Si ayer cante, mañana tambien lo hare
Si ayer cante, mañana tambien lo hare

No habra resentimiento
no importa que ande herido
no habra resentimiento
nada de sombras y penas,
romper la angustia que siempre he sentido
como lo logro no puedo decirle a mi corazon,

Cuanto te quise, de sobra lo sabes
desnuda el alma que canta tristezas
y hasta has cambiado la forma que tiene
mi condicion

Ay recuerdame
cuando escuches mis versos tan tristes recuerdame,
recuerdame, recuerdame
recuerdame, recuerdame .
"
42,Tristeza sobre tristeza,"['Resignación', 'Soledad', 'Angustia', '\nDecepción', 'Despecho']","Sobre la tumba de la esperanza que en ti tenia
cual pequeñuelo sin un consuelo vine a llorar
al ver el llanto que derramaba me enloquecia
y en mi locura ese cadaver quise desenterrar
Pero que va, ya esa esperanza murio
me quede sin tu amor
me quedo con la angustia con la pena de saber
que no logre tu querer que tu me decepcionaste
 y que triste me dejaste sufriendo por ti mujer 

Tristeza sobre tristeza se me van amontonando
el alma se me va llenando de tristezas nada mas




y tu en vez de condolerte de este ser entristecido
aumentas mas mi castigo otra tristeza me das

Basta de llanto me digo y no puedo resistir
lo sucedido me deja ciego y sin voluntad
estoy viviendo pero mejor seria no vivir
que hago con vida tan resentida sin felicidad

Vale decir, que tu no tienes la culpa
Si mi corazon te insulta
No te enfades ya tu sabes, que lo hace sin intencion
es que perdio la razon, y se encuentra enceguecido
el quiso ser feliz contigo y solo encontro decepcion

Susurrando el viento pasa arrastrando hojitas secas
le hablo de mi pa´ que sepa
que me tiene que ayudar
el que todo se lo lleva que se lleve el alma mia
adonde esta esa alegria que yo no puedo encontrar
que yo no puedo encontrar
que yo no puedo encontrar
"
43,Tú,"['Desolación', 'Pena', '\nDecepción', 'Despecho']","Tu, la de tantas promesas bonitas
la de aquella pasion infinita
que solo en tu brazos pude conocer.

Tu, la mujer de toda mi confianza
derrumbaste un altar de esperanza
que solo contigo pensaba tener.

Tu, la que nunca creia en el engaño
ni pensaba en amores extraños
porque era muy grande el que habia entre los dos.

Hoy me tienes muriendo de pena
mi pasion fue un castillo de arena
que un dia de verano el viento arrastro.





Con tu mal comportamiento me has herido
en la fibra mas profunda de mi orgullo
y hoy me tienes en el borde del abismo
a la sombra de un camino muy oscuro.

Ya no volvere a confiar en tu cariño
aunque tenga que morir al lado tuyo 
Ya no volvere a confiar en tu cariño
aunque tenga que morir al lado tuyo 

Tu, quien despues de vagar entre sombras
a mi lado encontraste la gloria
que nadie en el mundo te quiso brindar

Tu, la mujer que era toda mi vida
hoy me causa tan hondas heridas
que si me descuido me pueden matar

Yo, borrare aquellas desilusiones
entonando sentidas canciones
buscando entre notas poder olvidar

Que vivi tan feliz a tu lado
como el perro que lame confiado
la mano traidora que le ha de pegar

Con tu mal comportamiento me has herido…

Ya no volvere a confiar en tu cariño…
"
44,Tú... Mi sueño,"['Desolación', 'Pena', 'Decepción']","Yo no sabia que la distancia te cambiaria
que tanto tiempo de estar sin verte te haria olvidar
tantas promesas que nos hicimos
si nos juramos seguir unidos
por siempre toda la eternidad
y hoy que regreso por tu cariño
con ansia inmensa de estar contigo
hoy que te busco tu ya no estas

Cuanto llore,
si los recuerdos de aquellos tiempos forman mi vida
nunca pense,
resistir la pena y el tormento de tu falsia




Yo que crei
en la pureza de tus caricias, de tu pasion
en tantas cosas que me jurabas con loco amor
en esos besos que creo que nunca podre olvidar

Si en tu sonrisa se reflejaba que eres feliz
si tus labios siempre contestaban yo soy de ti
hoy comprendo la triste amargura de mi soñar

Tiempos pasados causan nostalgia y melancolia
hieren el alma dejando huellas de algo fatal
la noble sabia del sentimiento,
se pierde en un valle de tormento
dejando en el alma soledad
se pierde la esencia del cariño
todo naufraga en un mar de olvido
todo es incierto todo es fugaz

No volvera
a mi existencia aquel dulce aroma, aquel sueño mio
Ni me veran
esperando aquella muchachita a la orilla el rio

Ya no saldra,
de mis labios versos que cantaba al amanecer
canciones que brotaban de mi alma por ti mujer
haciendo mas grande mi cariño, mi tanto amar
pero hoy mi vida es un pobre nido en desolacion
no siente penas no siente nada no siente amor
es una danza de incertidumbre y de soledad.
"
45,Chiquilina,"['Soledad', 'Incertidumbre', '\nDesesperanza']","Chiquilla donde te has ido
Chiquilla donde estas tu 

Siento que ahora, te estas alejando 
te estas escapando, de mis propias manos 




mi alma tan sola, de amor solitario 
se habia entusiasmado burlando mis años.

Y yo no se que sera de mi 
me siento solo a mi edad sin ti 
y yo no se que sera de mi vida 
y en todas formas la llevo perdida.

Lloraras, golondrina aventurera 
posaras, con tu vuelo frente a mi 
y sabras, que mi alma te espera 
no vuelvas quimera, mi tiempo feliz.


Hoy te amo mas chiquilina
 y mañana mas que ayer 

Pero los dias, que van transcurriendo 
me van persuadiendo, de mi realidad 
con tu alegria, frente a mis años viejos 
ya mi cuerpo yerto, no quiere luchar. 

No es que sea anciano pero los dos 
si comparamos yo soy mayor 
lo que pa’ ti puede ser aventura 
es para mi una terrible tortura. 

Lloraras golondrina aventurera… 

Laralaralaralaralara laralaraaa 
Laralaralaralararaaaa
"
46,El águila,"['Soledad', 'Pesar']","Un aguila volo muy alto, reto sus alas, como queriendo morir
buscando el cielo, dejo la tierra, donde le toco vivir
nadie lo vio, llorando, nadie lo vio, dolido 
ninguno oyo, su llanto, era el aire, su nido.

Todo solo fue, por un cariño, todo solo fue, por dar el alma
quiso regresar, no hallo camino nadie lo espero,  nadie esperaba
y ojala que un dia te corra, la sangre feliz
por tu corazon desierto, que fue un manantial
el que ahora me vean alegre, no quiere decir
que mis ojos no han llorado, cansado es que estan
si hay una pluma en el aire, lo puedes decir
que un aguila, ha muerto ya.




: Nadie dio por el la vida, nadie dio por el alma
ay! sus alas fueron, su vida, que nadie reclame nada.

El dia que el aguila detenga, su vuelo eterno, muy cerca del astro rey
caera su sombra, sobre la tierra, nadie sabra que fue de el
si el arbol que, dio sombra, la lluvia le, dio olvido
el sol quemo, sus hojas, tambien quemo, su nido.

Quedate mi amor, con mi cariño 
quedate  mi amor, con toda el alma
en el cielo se, que hay mas camino
nunca hubo un ayer, sin un mañana.
y ojala que un dia tu alma, pueda sonreir
aunque dicen lo contrario, tus ojos al llorar
y del sueño de aquel ave, que fuera por ti
en la arena se ha quedado, enterrado esta
si hay una pluma en el aire, vuelvelo a decir
que un aguila ha muerto ya.

: Nadie dio por el la vida nadie dio por el alma
ay! sus alas fueron su vida que nadie reclame nada .
"
47,La mariposa,"['Desesperanza', 'Frustración']","Ayer se paseo en la casa una mariposa
como buscando un secreto
despues se poso en el patio sobre una rosa
que se mecia, con el viento 
sus alas se abanicaban, como pidiendome un beso
 y el momento se prestaba, pa’ un juramento de amor
senti un duende que saltaba, dentro de mi pecho
 y un lazo que se anudaba, en mi corazon.

Cuando trate de alcanzarla, alzo de nuevo su vuelo
y sus ojitos brillaban, como cocuyos del cielo
y en su vuelo dibujaba, las letras de mi recuerdo.

La fantasia de su vuelo, quedo prendida
en un latido del alma
y se adueño de mi vida y de mi cariño
y ahora no puedo olvidarla.

Y me consuelan las notas de mi bendita guitarra
y las flores de mi patio donde ella un dia se poso
y la rosa esta marchita que hay que cortarla
por que lo que esta en mi pecho, no lo aguanto yo

Las mariposas no vuelven, cuando no quedan cebadas
lo mismo son las mujeres, si no le cortan las alas
y a los hombres no se dejan, de la noche a la mañana.
"
48,Te vas de mí,['Pena'],"Te vas de mi
: te vas de mi
Como los años que se van pasando inexorablemente
como langostas que a su paso dejan desolado el campo
como aguaceros que ya han escampado y quedan las corrientes.

Como los campos que tienen su lindo sembrado
pasa el invierno y entonces lo azota el verano
y el sembrado va muriendo paulatinamente.


: Y aquel amor
fueron llamas que estan extinguiendo
ya se borran las huella de tus besos
porque no me quereis corazon
ya se borran las huella de tus besos
porque no me quereis corazon

Te vas de mi
: te vas de mi

Como la vida se le escapa al viejo por sus tantos años
como las aguas que se van perdiendo, y al cauce no vuelven
como gaviotas que dejan su nido, y que no regresaron

Como las aves que adoran a su pichoncitos
y que se mueren por ellos cuando estan chiquitos
pero crecieron sus alas y al viento volaron

: Yo te adore
pero ya para mi es una historia
hoy me dejas ya no eres mi novia
te crecieron las alas mujer
Hoy me dejas ya no eres mi novia
te crecieron las alas mujer
"
49,Una mariposa llamada Lorena,"['Soledad', 'Frustración']","Veia, un libro abierto sin fin, una paloma en el mar 
yo te miraba reir y el suspiro salia dentro de mi 
soñaba, tu direccion era el sol, amabas tu libertad 
yo y mi guitarra sellamos tu vuelo enamorado de ti. 

Sentia, que podias iluminar, con un rayito de luz 
ese camino de viento de luna y yo esperaba al final 
que un dia, tu te cansaras de huir, de tanto peregrinar 
yo no te puse cadenas ni nada queria verte feliz. 

Yo perdi el rastro de esa mariposa y enseguida mori 
: Que iba a pensar que te ibas a escapar 
cuando me estaba quemando el amor 
queria tenerte solo para mi




Ayayay ayayay 
adios mariposa y adios, perdona mis ganas de amar 
dice el desespero en mi, que vaya a buscarte donde estes. 

Ayayay tu nombre Lorena 
ayayay se quedo en mi piel 
ayayay tu nombre de reina se quedo en mi piel 

Sabia, que mi cancion brillo en ti, y hasta un lucero apago 
pero tu barco no anclaba en mi noche y tu deseabas volar 
y yo, no queria verte sufrir, me iba a doler tu verdad 
si te llevabas lo mejor de mi alma tenia que ser asi 

Sentia, que era tan corto vivir,
 que querias tu juventud 
que el universo se hacia chiquitico tenias todo pa´ ti 

Tu pueblo, podia ser cualquier pais 
ya no importaba el lugar 
yo mientras tanto desangro mi pecho hasta que manden por mi 
no supe como llegaste a mi vida, preguntando por mi 
: 
Si yo tampoco buscaba ilusion 
si yo sabria de tu afan de volar 
me habria evitado de nuevo perder 

Ayayay, ayayay 
adios mariposa y adios 
extiende tus alas y adios 
yo se que mi vida sin ti 
no va a ser lo mismo jamas 

ayayay, tu nombre Lorena 
ayayay, se quedo en mi piel 
ayayay tu nombre de reina se quedo en mi piel
"
50,Amor en la distancia,['Nostalgia'],"
 Deja que el tiempo azote fuerte
 y que me cubra con la arena del olvido
deja que el tiempo me de su sombra
 para cubrirme con la luz tu cariño

Y al llegar el verano entonces
 me acompañaran las estrellas




y la luna sobre los montes
 llenara mi cancion de pena

Me han pagado el amor
 con un poco de pena 
mi sonrisa mas buena
 se me fue con tu adios

Me prometiste volver y volver
 ansiosa de cariño
y yo sentia tu amor avanzar
 como las aguas de un rio
y yo sentia tu amor avanzar
 como las aguas de un rio

Mi felicidad goteaba llanto
 pero su boca se hacia mas bella
cuando la besaba muy despacio
 sentia mas cerca luna y estrella


Se paso el tiempo amando a nadie 
porque tu amor en la distancia no se siente
me voy buscando las soledades 
para esconder mis ojos tristes de la gente

Y al llegar el invierno entonces
 me acompañara con la lluvia
y las nubes sobre los montes 
guardaran la sonrisa tuya

 Ya volvio a amanecer
 ese nido del tiempo 
que se lleva ni el viento
 tus recuerdos de ayer

Quisiera ver cada dia volver el amor que tu me dabas
y acariciar tu cabello tu piel y callar con tus palabras
y acariciar tu cabello tu piel y callar con tus palabras

Mi felicidad goteaba llanto:
"
51,Añoranzas,"['Esperanza', 'Incertidumbre', '\nNostalgia']","Me puse a mirar el jardin mi vida 
mire flores para ti y sin poder llevarte 
añorando revivi 
aquel tiempo tan feliz y sin poder quejarme. 

Distancia que con el tiempo van devanando recuerdos 
y el arbol perdio sus hojas, el tiempo lo desnudo 
presiento que ya no vuelve, por Dios que yo pienso asi 
pero dice la esperanza, la veras si tu la esperas 
y aun no me he acostumbrado, poder caminar sin ti. 

Tantas promesas de amor
tantas promesas de amor 
que la gente me afrenta 
y yo a sabiendas que no fui yo. 




Y ahora si me la halle, yo sin tu querer 
deambulando y sin amor, que voy a hacer
 
: O sera que me quiere, sera que me odia, 
no puedo resistirlo 

y arreboles solo son, recordacion, luz estrella noches son 
poemas de amor, ¿que es el amor?, pregunto yo enamorado. 
es vivir el presente, recordar a la gente, es añorar el pasado. 
es vivir el presente, recordar a la gente, es añorar el pasado.

A la diestra del dolor, la pena 
y a la izquierda el corazon late al decir te espero, 
veo una lluvia torrencial 
un pretexto pa’ evitar no te vayas ligero. 

Capullos de flor de enero, que no conocen mis versos 
que fueron musa hace tiempo y que hoy me enferman de amor 
se añoran las cosas buenas, que tienden a fallecer 
dicen que una cancion vieja, es mejor que una reciente 
pero al irse la reciente, entonces es mejor tambien. 

Yo no alcanzo a comprender pero si alcanzo a entender 
que yo fui tu pasado soy tu presente, soy tu querer. 

Y añoranzas solo son recordacion 
mil preguntas giran a mi alrededor. 

: O sera que me quiere, sera que me odia, 
no puedo resistirlo
 
Porque el celo del que ocupe hoy mi lugar 
sera eterno como eterno es el amar 
¿que es el amor? pregunto yo enamorado. 

Es vivir el presente recordar a la gente 
es añorar el pasado.
"
52,Ausencia,['Nostalgia'],"Ausencia, que me tiene solo
y hasta tu recuerdo, se aleja de mi
nostalgia, de mirar tus ojos
de sentir tu cuerpo, de tenerte aqui.

: Ausencia que seca mis ojos
que inspiran mis versos por ti.

Ausencia que me tiene solo
y hasta tu recuerdo se aleja de mi
ausencia que me tiene solo
y hasta tu recuerdo se aleja de mi.

Anoche, la luna alumbraba,
brillaban las gotas, de agua en una flor.




Anoche, mientras yo cantaba
lloraban las notas, con que nace un son.

: Anoche hasta el cielo lloraba,
cayendo goticas de amor.

Mas tarde la luna alumbraba
brillaban las gotas de agua en una flor
Mas tarde la luna alumbraba
brillaban las gotas de agua en una flor

Regresa, porque los ausentes,
son sombras del alma, o sombras de amor
regresa, o solo la muerte
podra brindar calma, a mi corazon
regresa pa’ ver lo que sientes 
oyendo mi vieja cancion.

Regresa porque los ausentes, 
son sombras del alma o sombras de amor
Regresa porque los ausentes, 
son sombras del alma o sombras de amor
"
53,Delirio,['Pena'],"La brisa de la tarde duerme 
en esa cabellera tierna  

Tu eres una mujer que matara 
aquel que con esperanza piensa en ti 
por eso este delirio callara 
el dia que vida mia vuelvas a mi 

Me pesan los años por tu ausencia 
mira morenita que estoy triste 
otro dia mas que paso en la vida 
otro dia mas que paso sin verte 




La brisa de la tarde duerme 
en esa cabellera tierna 

Aquel manantial que en la altura 
trae agua de la serrania 
 
Todas las noches sueño con querer 
de esa agua fresca y pura yo beber 
y el remedio que me podra curar 
quitarme este delirio que me hace mal 

Me pesan los años por tu ausencia 
mira morenita que estoy triste 
otro dia mas que paso en la vida 
otro dia mas que paso sin verte 

Hace un año nos conocimos 
estabas vestida de blanco  

Una mañana alegre y de esplendor
una brisa muy suave sobre ti 
alli escuche el encanto de tu voz 
y hoy siento este delirio revivir 

Me pesan los años por tu ausencia 
mira morenita que estoy triste 
otro dia mas que paso en la vida 
otro dia mas que paso sin verte .
"
54,Desdichas del hombre,"['Desdicha', 'Esperanza', 'Nostalgia']","Tu quizas no sabias 
que tu ausencia seria la desdicha de un hombre, 
ni en parrandas alegres 
ni con otras mujeres se me olvida tu nombre. 

Desde el dia que te fuiste 
aunque me prometiste que pronto volverias, 
ha cambiado mi vida,
 porque con tu partida se acabo mi alegria.

Se borro la sonrisa que brillaba en mis labios, 
y ahora vivo penando y extrañando tus caricias . 

Tu me tienes cautivo 
y es por eso que vivo añorando tus besos, 
de noche me desvelo 
y en lo poco que duermo sueño con tu regreso. 

Cual sera mi destino 
no me importa el camino de lo malo y lo bueno, 
porque tu despedida 
ha cambiado mi vida de la gloria al infierno. 

Y si tu no regresas yo me voy a buscarte, 
si no puedo encontrarte voy a morir de tristeza -
"
55,Golondrinas viajeras,"['Nostalgia', 'Pena']","Donde van golondrinas que se pierden
bajo el peso de la noche en un invierno sombrio

Donde van golondrinas viajeras
donde van llevenle mi recuerdo
llevenle un verso a mi montañera.

diganle que es muy frio el invierno

Diganle me desvelo por ella
y que si no regresa de pena yo muero




evocando su nombre en silencio
en la noche callada vivo del recuerdo

Cuerdas viejas, de aquella guitarra
que en mil serenatas, fueron mis testigos

Liras que murieron en parrandas
llevenle a mi amada los recuerdos mios
diganle que mi vida no es nada

que si no regresa me mata el hastio

Diganle que el sinsonte se ha callado
entre los platanales a orillas del rio
que recordando el tiempo pasado
en silencio he llorado pero no la olvido

Donde van los amores que se pierden
cuando sus  recuerdos lo mata un cariño

donde van que regreso no tienen
sus caricias y besos fingidos
si no vienen por que no se mueren

y dejan sin llanto a un corazon herido

Que en tus labios guardadas se queden
y sepulte la noche  tu amor ya perdido
los recuerdos tiemblan con tu nombre
al compas  de canciones que van al olvido.
"
56,Lejanía,"['Melancolía', 'Esperanza', '\nConfusión', 'Nostalgia', 'Desconsuelo']","Es muy triste tener un amor viviendo en lejania
porque el alma se va consumiendo en el mar de la ausencia
la distancia señala en mi vida una negra sentencia
y el recuerdo de aquel gran amor es mi triste agonia

Yo sin ti me muero, vida mia, me hace mucha falta tu presencia
Yo sin ti me muero, vida mia, me hace mucha falta tu presencia


Mis noches son largas pensando
con quien estaras disfrutando
el tiempo que vivo sin ti,
y yo que me muero por verte
quizas no estare ni en tu mente
y vivo sufriendo por ti 

Cuando vuelvas conmigo mi vida tendre un nuevo dia
y el verano de mi desconsuelo sera primavera
en tus labios se encuentra el remedio que alivia mis penas
y en tus brazos mi queja mas triste se vuelve alegria

Porque tu presencia vida mia
es como diciembre en noche buena
Porque tu presencia vida mia
es como diciembre en noche buena

Contigo mi vida es mas bella
mi noche se llena de estrellas
y siento que vivo por ti
Por que tu presencia en mi vida
despierta mi calma dormida
y vuelvo a sentirme feliz 
"
57,Mi rosita,['Nostalgia'],"Mi rosita, mi rosita
estas tan lejos de mi lado mi rosita
vivo triste con mis cuitas
con los recuerdos de tus besos y caricias

Mi rosita mi rosita
como te añora mi alma triste mi rosita
me dejaste solo y triste
aquella noche de amor cuando te fuiste

Si tu no vuelves junto a mi
de pena me voy a morir




porque mi vida sin tu amor
no veo que pueda resistir

Yo solo guardo para ti
mi humilde y noble corazon
que palpitante vive en mi 
con el calor de tu ilusion

Mi rosita, mi rosita
estan tan lejos de mi lado vida mia
vivo triste con mis cuitas
con los recuerdos de tus besos y caricias

Mi rosita mi rosita
como te añora mi alma triste mi rosita
me dejaste solo y triste
aquella noche de amor cuando te fuiste

Si tu no vuelves junto a mi
de pena me voy a morir
porque mi vida sin tu amor
no veo que pueda resistir

Yo solo guardo para ti
mi humilde y noble corazon
que palpitante vive en mi 
con el calor de tu ilusion
"
58,Penumbra,['Soledad'],"Como los rayos debiles del sol
que en el ocaso mueren en silencio
se van ocultos los pocos momentos
que de alegria he tenido hoy

En cada tarde que se va muriendo
reminiscencia de los dias aquellos
que tan felices vivimos los dos

Solo soy
como aquel ave nocturna
que esperando esta la luna
para salir a pasear

Mi dolor
es ese de ese bello dia
que sumido en la agonia
mira la noche arribar

Y mi ansiedad junto a la tarde se va
buscando el nido donde se quedo mi amor




la lontananza el camino prolongo
no ha de llegar 

Ya el dia se va 
: el manto lobrego de la noche se ve
 mis ilusiones de hoy las vere fenecer
 pero mañana otras nuevas me haran soñar 

Esa penumbra y desesperacion
es un presidio para mis anhelos
porque la luna que viene saliendo
desde otro sitio la ve mi amor

Siento en el alma mucho desespero
miles penurias de sus ojos bellos
que estan mirando lo mismo que yo

Soñador
era cuando junto a ella
contemplaba las estrellas
en Santa Martha
junto al mar

Pero hoy
que me encuentro
sin mi negra
y estoy lejos de mi tierra
la ausencia me va a matar

Tras el umbral de la noche que vendra
tenso diadema con mi angustia y mi dolor
vacia se queda el arca de mi ensoñacion
por que no estas 

Que soledad
que trago amargo me esta tocando beber
quiero su cuerpo su alma todo su querer
ansio su boca que ya no logro besar .
"
59,Súplica de amor,"['Esperanza', 'Nostalgia', 'Soledad']","Hoy hace un año se termino 
el gran amor que un dia nos unio 
por eso hice esta composicion. 

Porque recuerdo y me da dolor 
esos momento ´e satisfaccion 
que poco a poco en nada quedaron. 

Pero la herida que tengo yo 
ni con el tiempo ha cicatrizado  

Vengo a contarte morena mia 
que me enguayaba tu lejania 
yo no comparto con la distancia 

Porque la luna cuando se opaca 
no es para siempre las nubes pasan 




vuelve a mostrar su gran colorido 

Tu eres la fuente de mi alegria 
recapacita y vuelve conmigo  

Se bien que por ser tan orgullosa 
mis suplicas de amor nada vale 
me dejas sumido en la derrota 
aunque por dentro sienta la pena. 

Y yo voy a seguirte tus huellas 
hasta el dia en que mi vida se acabe 

Cuando se vive de esta manera 
como yo vivo por ti morena 
se necesita mucho valor. 

Ser un eterno y fiel luchador 
aunque se sienta que el corazon 
ya no soporta mas amarguras. 

Tu eres quien puede curar mi pena 
si tu no quieres quien me la cura . 

Por eso debes de meditar 
y comprender que no hay nada igual 
al gran amor que yo te profeso. 

Saca de ti ese resentimiento 
que ha separado por tanto tiempo 
dos corazones que si se aman. 

Que sea el futura para triunfar 
que dios bendiga nuestro mañana . 

Se bien que por ser tan orgullosa…
"
60,Ambiente de nostalgia,"['Melancolía', 'Nostalgia']","Yo quisiera mitigar la tristeza
que me traen los recuerdos de mi infancia
Hoy crecido añoro con ansias 
tiempos idos del trompo y la cometa

Pajonales silvestres enverdecidos
susurrantes al paso de un campesino
se durmieron para siempre en el destino
de mi agonizante terruño querido

Rumbo al camino del ocaso
rumbo a un abismo de miseria
solo se escuchara mi canto
que es un lamento de mi tierra

Como el poeta que llora al escribir
en sus versos una profunda pena
: Hoy yo lloro porque  a mi pobre tierra
le han cambiado su forma de vivir 

Un canario enmudecido se levanta
un campano agoniza en la ribera
de mi pueblo se alejo la primavera
se respira un ambiente de nostalgia

Implacable el tiempo deja sus huellas
transformando hasta el alma de una rosa
ya en el rio no juega la mariposa
a mi cielo le hacen falta mil estrellas

Aunque se cambien sus costumbres
aunque se sequen las quebradas
aunque su cielo el sol no alumbre
su musica sera escuchada

Como el poeta que llora al escribir…
"
61,Arroyitos de mi infancia,"['Melancolía', 'Nostalgia']","Cuando llueve la brisa del campo 
refresca la tierra, germinan las flores 
arroyitos que vienen bajando 
recuerdos de infancia de tiempos mejores.

Yo recuerdo que estando muy joven 
a la finca yo iba con mi padre 
recorriamos todos los potreros 
hasta ya muy metida la tarde. 

Regresaba a caballo cantando 
y a mi lado mi padre tambien 




casi siempre caia un aguacero 
arroyitos crecian por doquier. 

Ya muriendo la tarde en el Valle 
regreso a mi casa queriendo volver 
cuando llueve me da sentimiento 
pero eso no importa que vuelva a llover. 

Yo quiero vivir mi vida 
sin penas y sin tormentos 
arroyitos de mi infancia 
que triste es mi sentimiento 

ay, ay, ay todo se lo lleva el tiempo  
 
Me enguayabo en parranda cantando 
hay cosas muy tristes que mueren conmigo 
las conservo muy dentro del alma 
producen nostalgia en mi canto lo digo. 

Arroyitos que vienen bajando 
van creciendo a medida que llueve 
y a mitad del camino yo siento 
que la tarde en el valle se muere. 

Regresaba a caballo cantando… 

Ya muriendo la tarde en el Valle… 

ay, ay, ay todo se lo lleva el tiempo  
"
62,"Campanitas

215","['Melancolía', 'Nostalgia']","

Me duele pensar, que todo se va, que todo se alejara
no quiero llorar, y ya va a empezar, mi llanto y mi queja
sufro al recordar, que con gran pesar, me fui de mi tierra
y hoy al regresar, no la encuentro igual, no es la misma que era

Suenen campanas de mi pueblo
rompan de su silencio preludien de la paz
lleven en su sonar mi recuerdo
hagan que todo sea bueno
hagan que todo sea igual

Porque ayer todo era bello en mi tierra
porque ayer toda su gente era buena
hoy me entristece su fatalidad 

Recuerdo muy bien, vivi mi niñez, llena de felicidad
despues vi crecer, mi cuerpo de ayer, y me empece a enamorar
campanita fiel, tu que sabes bien, diselo en tu repicar
que he vuelto otra vez, porque quiero ver, poder mi pueblo abrazar

Suenen campanas de mi pueblo…

Porque ayer todo era bello en mi tierra…
"
